use_case,module,title,scientific_question,primary_inputs,data_inputs_summary,support_tier,decision_support_role,relevance_to_aliphatic,relevance_to_polyaromatic,relevance_to_metal_constraint,recommended_for_report,priority_rank,source_path
UC 1.6,Module 1,UC-1.6 â€” Functional Potential of Samples Across Regulatory References,"To what extent does the KO annotation breadth of different samples overlap with the compound lists of various environmental regulatory agencies, as measured by unique KO counts at each sample-agency intersection?","BioRemPP results table with `sample`, `referenceAG`, and `ko` columns","- **Primary data source:** BioRemPP - **Key columns:** - `sample` â€“ identifier for each biological sample - `referenceAG` â€“ identifier for the regulatory or scientific agency (e.g., WFD, CONAMA, EPC) - `ko` â€“ KEGG Orthology identifier associated with the annotated function - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Entity of interest:** unique KO identifiers counted per `(sample, referenceAG)` pair",Complementary support,"Mede amplitude de KOs por amostra e agencia regulatoria, conectando potencial funcional a escopos regulatorios.",Media.,Media.,Media.,TRUE,28,docs\use_cases\module1\uc_1.6.md
UC 2.5,Module 2,UC-2.5 â€” Descriptive Statistics of Samples Across Databases,"How does the statistical distribution of KO annotation counts compare across different samples and annotation databases, and what insights might this provide about their scope and focus?","BioRemPP, HADEG, and KEGG results tables with sample-level KO annotations",- **Primary data sources:** - BioRemPP results table - HADEG results table - KEGG results table - **Key columns (per selected database):** - `sample` â€“ identifier for each biological sample - `ko` or `Gene` â€“ KEGG Orthology identifier (or equivalent KO column) - **Accepted format:** semicolon-delimited text tables (`.txt` or `.csv`) - **Entity of interest:** unique KO counts per sample for the selected database,Complementary support,"Fornece estatisticas descritivas de KOs por banco, util para auditar se os candidatos estao acima ou abaixo da distribuicao geral.",Media.,Media.,Media.,TRUE,29,docs\use_cases\module2\uc_2.5.md
UC 1.4,Module 1,UC-1.4 â€” Proportional Contribution of Samples Unique KO Pool,What is the relative KO annotation breadth of each biological sample compared to the total unique KO pool observed across the entire dataset?,BioRemPP results table with `sample` and `ko` columns,- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `ko` â€“ KEGG Orthology identifier associated with the annotated function - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Entity of interest:** unique KO identifiers associated with each sample,Complementary support,"Quantifica a contribuicao relativa de cada amostra ao pool total de KOs, apoiando a distincao entre isolados generalistas e especialistas.",Media: ajuda a explicar candidatos com grande repertorio funcional.,Media: ajuda a explicar candidatos com grande repertorio funcional.,Media: permite verificar se o universo Metal concentra amostras funcionalmente amplas.,TRUE,30,docs\use_cases\module1\uc_1.4.md
UC 1.1,Module 1,"UC-1.1 â€” Intersections across BioRemPP, HADEG, and KEGG","To what extent do the functional annotations from different databases agree, and what unique contributions does each source provide for bioremediation-focused analysis?","BioRemPP, HADEG, KEGG KO annotation tables","- **Annotation sources:** BioRemPP, HADEG, KEGG - **Required identifier column:** `ko` (KO identifiers) - **Accepted formats:** semicolon-delimited (`.txt` or `.csv`) tables - **Identifier handling:** KOs are treated as strings and normalized prior to set operations",Complementary support,"Compara concordancia e contribuicoes unicas entre BioRemPP, HADEG e KEGG, ajudando a qualificar a confiabilidade multi-banco das evidencias usadas nos consorcios.",Media: reforca se as anotacoes de classe tambem aparecem em bancos complementares.,Media: reforca se as anotacoes de classe tambem aparecem em bancos complementares.,"Baixa a media: apoia a interpretacao geral da restricao Metal, mas nao testa diretamente o universo da imagem.",TRUE,31,docs\use_cases\module1\uc_1.1.md
UC 4.1,Module 4,UC-4.1 â€” Functional Profiling of Samples by Metabolic Pathway,"What is the KO annotation profile of each sample, as defined by the richness of annotated KOs across its metabolic pathways?",`KEGG_Results.xlsx or KEGG_Results.csv` (sampleâ€“KOâ€“KEGG pathway associations),"- **Primary data source:** `KEGG_Results.xlsx or KEGG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `pathname` â€“ KEGG pathway name or identifier - `ko` â€“ KEGG Orthology (KO) identifier associated with that sample and pathway - **User control:** - A **dropdown menu** allowing selection of a single `sample` to be profiled. - **Output structure:** - **Bars:** KEGG pathways present in the selected sample - **Bar value:** count of **unique KOs** per `(sample, pathname)` pair (pathway-level KO richness)",Complementary support,"Perfila KOs por pathways KEGG para cada amostra, ajudando a interpretar profundidade funcional dos candidatos.",Media.,Media.,Media.,TRUE,32,docs\use_cases\module4\uc_4.1.md
UC 4.2,Module 4,UC-4.2 â€” Ranking of Samples by Pathway Richness,"For any given metabolic pathway, which samples have the highest KO annotation richness, as measured by their unique KO count?",`KEGG_Results.xlsx or KEGG_Results.csv` (sampleâ€“KOâ€“KEGG pathway associations),- **Primary data source:** `KEGG_Results.xlsx or KEGG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `pathname` â€“ KEGG pathway name or identifier - `ko` â€“ KEGG Orthology (KO) identifier associated with that sample and pathway - **User control:** - A **dropdown menu** allowing selection of a single **metabolic pathway** (`pathname`) to analyze. - **Output structure:** - **Bars:** samples associated with the selected pathway - **Bar value:** pathway-level KO richness per sample (count of unique KOs for that `sample`â€“`pathname` pair),Complementary support,"Ranqueia amostras por riqueza em pathway KEGG especifico, util quando um pathway alvo for priorizado.",Media.,Media.,Baixa a media.,TRUE,33,docs\use_cases\module4\uc_4.2.md
UC 4.3,Module 4,UC-4.3 â€” Functional Fingerprint of Pathway by Samples,"For a given metabolic pathway, what is the relative KO annotation richness of each sample, and which samples have the most extensive KO annotations?",`KEGG_Results.xlsx or KEGG_Results.csv` (sampleâ€“KOâ€“KEGG pathway associations),"- **Primary data source:** `KEGG_Results.xlsx or KEGG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `pathname` â€“ KEGG pathway name or identifier - `ko` â€“ KEGG Orthology (KO) identifier associated with that sample and pathway - **User control:** - A **dropdown menu** for selecting a single **metabolic pathway** (`pathname`) to analyze. - **Output structure:** - **Axes (Î¸):** one axis per `sample`, arranged around the circle - **Radius (r):** for each axis, the unique KO count for the selected pathway in that sample - **Polygon:** a closed shape connecting all sample points, representing the pathway's distribution of functional richness across the consortium",Complementary support,"Mostra footprint funcional de um pathway entre amostras, apoiando comparacoes pathway-level.",Media.,Media.,Baixa a media.,TRUE,34,docs\use_cases\module4\uc_4.3.md
UC 4.4,Module 4,UC-4.4 - Functional Fingerprint of Samples by Pathway,"What is the KO annotation fingerprint of each sample, as defined by the distribution of unique KO annotations across its metabolic pathways?",`KEGG_Results.xlsx or KEGG_Results.csv` (sampleâ€“KOâ€“KEGG pathway associations),"- **Primary data source:** `KEGG_Results.xlsx or KEGG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `pathname` â€“ KEGG pathway name or identifier - `ko` â€“ KEGG Orthology (KO) identifier associated with that sample and pathway - **User control:** - A **dropdown menu** allowing selection of a single **Sample** (`sample`) for detailed profiling. - **Output structure:** - **Axes (Î¸):** one axis per KEGG pathway (`pathname`) present in the selected sample - **Radius (r):** unique KO count for each `(sample, pathway)` pair - **Polygon:** a closed shape connecting all pathway points, representing the sample's functional fingerprint",Complementary support,"Mostra fingerprint de pathways por amostra, util para explicar a especializacao de membros selecionados.",Media.,Media.,Media.,TRUE,35,docs\use_cases\module4\uc_4.4.md
UC 4.5,Module 4,UC-4.5 â€” Gene Presence Map by Metabolic Pathway,"For a given metabolic pathway, which specific genes are annotated in which samples, and how do these patterns reveal broadly versus narrowly distributed gene annotations across samples?",`KEGG_Results.xlsx or KEGG_Results.csv` (sampleâ€“geneâ€“KOâ€“pathway associations),"- **Primary data source:** `KEGG_Results.xlsx or KEGG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `pathname` â€“ KEGG pathway name or identifier - `genesymbol` â€“ gene symbol associated with the KO(s) for that pathway - `ko` â€“ KEGG Orthology identifier(s) linked to the gene and pathway - **User control:** - A **dropdown menu** to select a single **Metabolic Pathway** (`pathname`) for inspection. - **Output structure:** - **X-axis:** samples - **Y-axis:** gene symbols associated with the selected pathway - **Dots:** presence of a given gene in a given sample for that pathway, optionally with KO-based summaries in hover",Complementary support,"Mapa de presenca de genes por pathway KEGG, util para validar genes especificos em candidatos.",Media.,Media.,Baixa a media.,TRUE,36,docs\use_cases\module4\uc_4.5.md
UC 4.7,Module 4,UC-4.7 â€” Geneâ€“Compound Association Explorer,"What are the specific co-annotation relationships between individual genes and chemical compounds, and which samples carry these co-annotations?",`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“compoundâ€“geneâ€“KO associations),"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundname` â€“ individual chemical compound names - `genesymbol` â€“ gene symbols associated with the interaction - `ko` â€“ KEGG Orthology identifier(s) mapped to the gene in that context - **User controls:** - **Dropdown â€“ Compound Name:** `compoundname` (optional filter) - **Dropdown â€“ Gene Symbol:** `genesymbol` (optional filter) - **Output structure:** - **X-axis:** gene symbols - **Y-axis:** compound names - **Points:** observed geneâ€“compound associations, with hover metadata exposing the underlying samples and KOs",Complementary support,Explora associacoes gene-composto e quais amostras carregam essas co-anotacoes.,Media.,Media.,Media.,TRUE,37,docs\use_cases\module4\uc_4.7.md
UC 4.8,Module 4,UC-4.8 â€” Gene Inventory Explorer,"What is the gene annotation inventory of each sample, and which samples carry a particular gene annotation of interest?",`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (sampleâ€“geneâ€“compoundâ€“KO associations),"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier for each biological sample - `genesymbol` â€“ gene symbols detected and functionally annotated - `compoundname` â€“ compounds associated with that gene in a given sample - `ko` â€“ KEGG Orthology identifier(s) mapped to the gene in that context - **User controls:** - **Dropdown â€“ Sample:** all unique `sample` identifiers - **Dropdown â€“ Gene Symbol:** all unique `genesymbol` entries - **Output structure:** - **Y-axis:** samples - **X-axis:** gene symbols - **Points:** confirmed presence of a given gene in a given sample, with hover metadata exposing associated compounds and KOs",Complementary support,"Inventario de genes por amostra, util para investigacao manual de genes de interesse nos candidatos.",Media.,Media.,Media.,TRUE,38,docs\use_cases\module4\uc_4.8.md
UC 4.11,Module 4,UC-4.11 â€” Hierarchical View of Genetic Diversity in HADEG Pathways,"What is the overall hierarchical structure of gene annotation diversity within the HADEG dataset, and how is this diversity distributed among compound pathway classes and their specific metabolic routes?",`HADEG_Results.xlsx or HADEG_Results.csv` (compound_pathwayâ€“pathwayâ€“gene associations),"- **Primary data source:** `HADEG_Results.xlsx or HADEG_Results.csv` (semicolon-delimited) - **Key columns:** - `compound_pathway` â€“ broad degradation class (e.g., *Alkanes*, *Aromatics*) - `Pathway` â€“ specific metabolic pathway within that compound class - `Gene` â€“ gene identifier (or symbol) associated with that pathway - **Pre-processing rules:** - Remove rows with missing `compound_pathway`, `Pathway`, or `Gene` - Optionally standardize identifiers (trim whitespace, harmonize case) to avoid artificial duplicates - **Output structure (hierarchy):** - Root node: **All Pathways** - Inner ring: **compound_pathway** - Outer ring: **Pathway** (children of each compound_pathway) - Slice size: number of **unique genes**",Complementary support,"Hierarquia da diversidade genetica em HADEG, util para contextualizar quais classes/pathways sao mais diversos.",Media se HADEG Alkanes for alvo.,Media se HADEG Aromatics for alvo.,Baixa.,TRUE,39,docs\use_cases\module4\uc_4.11.md
UC 3.6,Module 3,UC-3.6 â€” Gene Co-occurrence Across Samples,"Which genes tend to co-occur across the samples, and what might this pattern suggest about potential functional relationships, co-regulation, or participation in the same metabolic pathways?",BioRemPP results table with `sample` and `genesymbol` columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `genesymbol` â€“ gene symbol or identifier associated with the sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structure:** binary presence/absence matrix with: - rows = samples - columns = unique gene symbols - cell = `1` if the gene is present in that sample, `0` otherwise",Complementary support,"Estrutura, similaridade e co-ocorrencia.",Baixa a media.,Baixa a media.,Baixa.,TRUE,40,docs\use_cases\module3\uc_3.6.md
UC 3.7,Module 3,UC-3.7 â€” Compound Co-occurrence Across Samples,"Which chemical compounds tend to co-occur in the same sample annotations, and what might this pattern suggest about shared annotation contexts, co-contamination scenarios, or chemical similarity?",BioRemPP results table with `sample` and `compoundname` columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `compoundname` â€“ name (or identifier) of the chemical compound associated with the sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structure:** binary presence/absence matrix with: - rows = samples - columns = unique compound names - cell = `1` if the compound is associated with that sample, `0` otherwise",Complementary support,"Estrutura, similaridade e co-ocorrencia.",Baixa a media.,Baixa a media.,Baixa.,TRUE,40,docs\use_cases\module3\uc_3.7.md
UC 4.12,Module 4,UC-4.12 â€” Pathway Funcional Map by Sample,"For a given sample, how are its specific metabolic pathway KO annotations distributed across the broader chemical families (`compound_pathway`) with which they are associated?",`HADEG_Results.xlsx or HADEG_Results.csv` (sampleâ€“KOâ€“Pathwayâ€“compound_pathway),"- **Primary data source:** `HADEG_Results.xlsx or HADEG_Results.csv` (semicolon-delimited) - **Key columns:** - `sample` â€“ identifier of the analyzed biological sample - `ko` â€“ KEGG Orthology identifier associated with HADEG - `Pathway` â€“ specific HADEG/KEGG-like metabolic pathway - `compound_pathway` â€“ broader compound class (e.g., *Aromatics*, *Alkanes*) - **Pre-processing rules:** - Remove rows with missing `sample`, `ko`, `Pathway`, or `compound_pathway` - Optionally standardize string fields (trim, harmonize case) to avoid spurious duplicates - **Output structure:** - 2D matrix for a **single selected sample**: - Rows: specific `Pathway` - Columns: `compound_pathway` - Cell value: count of **unique KOs**",Complementary support,"Distribuicao de pathways HADEG por amostra, util para detalhar membros selecionados individualmente.",Media.,Media.,Media.,TRUE,40,docs\use_cases\module4\uc_4.12.md
UC 5.3,Module 5,UC-5.3 â€” Regulatory Relevance of Samples,Which samples are most co-annotated with compounds monitored by different environmental regulatory agencies?,BioRemPP results table with `sample` and `referenceAG` columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `sample` â€“ identifier for each biological sample - `referenceAG` â€“ regulatory or scientific agency label (e.g., WFD, CONAMA, EPC) - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structure:** interaction matrix with: - rows = samples - columns = regulatory agencies - cell = interaction count for each sampleâ€“agency pair",Complementary support,"Relevancia regulatoria por amostra, adicionando contexto de prioridade ambiental aos candidatos.",Media.,Media.,Alta se regulacoes incluem metais relevantes.,TRUE,41,docs\use_cases\module5\uc_5.3.md
UC 5.4,Module 5,UC-5.4 â€” Geneâ€“Compound Interaction Network,"What is the overall structure of the interaction network between genes and chemical compounds, and which entities may act as central ""hubs"" connecting disparate functions?",BioRemPP results table with `genesymbol` and `compoundname` columns,- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` **Key columns:** - `genesymbol` â€“ gene symbol or identifier - `compoundname` â€“ name (or identifier) of the associated chemical compound - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structures:** - node set of **genes** - node set of **compounds** - edge list of observed **geneâ€“compound interactions**,Complementary support,Rede gene-composto para identificar hubs funcionais associados aos compostos cobertos.,Media.,Media.,Media.,TRUE,42,docs\use_cases\module5\uc_5.4.md
UC 6.1,Module 6,UC-6.1 â€” Regulatory-to-Molecular Interaction Flow,How do high-level regulatory contexts flow through specific samples and their gene co-annotations to reach individual chemical compounds?,"BioRemPP results table with `referenceAG`, `sample`, `genesymbol`, and `compoundname`",- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `referenceAG` â€“ regulatory or scientific agency label - `sample` â€“ identifier for each biological sample - `genesymbol` â€“ gene symbol or identifier - `compoundname` â€“ chemical compound name or identifier - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Conceptual flow (stages):** 1. **Regulatory Agency** (`referenceAG`) 2. **Sample** (`sample`) 3. **Gene Symbol** (`genesymbol`) 4. **Compound Name** (`compoundname`),Complementary support,"Fluxo agencia -> amostra -> gene -> composto, conectando candidatos a contexto regulatorio e molecular.",Media.,Media.,Media.,TRUE,43,docs\use_cases\module6\uc_6.1.md
UC 6.3,Module 6,UC-6.3 â€” Chemical Hierarchy,"Which chemical classes and specific compounds are co-annotated with the most diverse gene sets, and which samples contribute the most to this annotation diversity?","BioRemPP results table with `compoundclass`, `compoundname`, `sample`, and `genesymbol`",- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `compoundclass` â€“ high-level chemical class or category - `compoundname` â€“ specific compound or pollutant name - `sample` â€“ identifier for each biological sample - `genesymbol` â€“ gene symbol or identifier associated with that sampleâ€“compound pair - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Hierarchical structure:** 1. **Compound Class** (`compoundclass`) 2. **Compound Name** (`compoundname`) 3. **Sample** (`sample`),Complementary support,"Hierarquia quimica por classe, composto, amostra e gene; boa sintese para explicar contribuicoes por classe.",Media.,Media.,Media.,TRUE,44,docs\use_cases\module6\uc_6.3.md
UC 6.4,Module 6,UC-6.4 â€” Enzymatic Hierarchy,"Which enzymatic functions are co-annotated with the widest range of unique compounds, how is this co-annotation breadth distributed across different chemical classes, and which specific genes are the primary contributors?","BioRemPP results table with `enzyme_activity`, `compoundclass`, `genesymbol`, and `compoundname`",- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `enzyme_activity` â€“ functional category/label of the enzymatic activity - `compoundclass` â€“ chemical class/category of the substrates - `genesymbol` â€“ gene symbol or identifier implementing that activity in at least one sample - `compoundname` â€“ specific compound name or identifier - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Hierarchical structure:** 1. **Enzyme Activity** (`enzyme_activity`) 2. **Compound Class** (`compoundclass`) 3. **Gene Symbol** (`genesymbol`),Complementary support,"Hierarquia enzimatica por atividade, classe e genes; reforca quais funcoes sustentam a cobertura.",Media.,Media.,Media.,TRUE,45,docs\use_cases\module6\uc_6.4.md
UC 7.1,Module 7,UC-7.1 â€” Predicted Compound Toxicity Profiles,"What is the comprehensive toxicological profile of each chemical compound across a wide range of risk categories, and which compounds pose the most significant and multi-endpoint hazards?",ToxCSM results table (`ToxCSM.xlsx or ToxCSM.csv`) with paired `value_` and `label_` columns,"- **Primary data source:** `ToxCSM.xlsx or ToxCSM.csv` (semicolon-delimited) - **Key columns:** - `compoundname` â€“ name of the chemical compound - `value_*` â€“ numerical toxicity scores predicted by ToxCSM (e.g., `value_Gen_Carcinogenesis`) - `label_*` â€“ qualitative categories corresponding to each score (e.g., ""High"", ""Low"", ""Non-toxic"") - **Derived fields:** - `endpoint` â€“ specific toxicological endpoint (e.g., `Gen_Carcinogenesis`) - `supercategory` â€“ grouped toxicity domain (e.g., `Genomic`) - **Toxicity super-categories:** - Nuclear Response - Stress Response - Genomic - Environmental - Organic",Complementary support,"Perfil toxicologico dos compostos, util para explicar prioridade dos compostos cobertos.",Media.,Alta.,Alta.,TRUE,46,docs\use_cases\module7\uc_7.1.md
UC 7.2,Module 7,UC-7.2 â€” Concordance Between Predicted Risk and Regulatory Scope,What is the structure and magnitude of the overlap between compounds monitored by regulatory agencies and those predicted to be of high toxicological risk?,`BioRemPP_Results.xlsx or BioRemPP_Results.csv` (regulatory annotation) and `ToxCSM.xlsx or ToxCSM.csv` (predicted toxicity labels),"- **Primary data sources:** - `BioRemPP_Results.xlsx or BioRemPP_Results.csv` â€“ regulatory annotation for compounds - `ToxCSM.xlsx or ToxCSM.csv` â€“ predicted toxicity scores and labels for compounds - **Key columns:** - From `BioRemPP_Results.xlsx or BioRemPP_Results.csv`: - `referenceAG` â€“ identifier for the regulatory or scientific agency (e.g., WFD, CONAMA, EPC) - `compoundname` â€“ name of the chemical compound - From `ToxCSM.xlsx or ToxCSM.csv`: - `compoundname` â€“ name of the chemical compound (must be linkable to BioRemPP) - `label_*` â€“ qualitative toxicity labels for individual endpoints (e.g., ""High Toxicity"") - **Entities represented in the chord diagram:** - Individual **Regulatory Agencies** (`referenceAG`) - A synthetic **""High Predicted Risk""** category, aggregating all compounds predicted as highly toxic by ToxCSM",Complementary support,"Concordancia entre risco predito e escopo regulatorio, adicionando peso ambiental aos alvos.",Media.,Alta.,Alta.,TRUE,47,docs\use_cases\module7\uc_7.2.md
UC 5.5,Module 5,UC-5.5 â€” Geneâ€“Gene Interaction Network (Based on Shared Compounds),"Which genes share the most compound co-annotations across samples, and what co-annotation structure do these geneâ€“gene relationships form?",BioRemPP results table with `genesymbol` and `compoundname` columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `genesymbol` â€“ gene symbol or identifier - `compoundname` â€“ name (or identifier) of the chemical compound associated with that gene in at least one sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structures:** - mapping of each gene to its set of unique compounds, - weighted geneâ€“gene edge list based on the count of shared compounds.",Context only,Rede gene-gene baseada em compostos compartilhados; mais util para mecanismo geral do que para decidir membros do consorcio.,Baixa a media.,Baixa a media.,Baixa.,FALSE,50,docs\use_cases\module5\uc_5.5.md
UC 5.6,Module 5,UC-5.6 â€” Compoundâ€“Compound Interaction Network (Based on Shared Genes),"Which chemical compounds share the most gene co-annotations across samples, and what co-annotation structure do these compoundâ€“compound relationships form?",BioRemPP results table with `compoundname` and `genesymbol` columns,"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `compoundname` â€“ name (or identifier) of the chemical compound - `genesymbol` â€“ gene symbol or identifier associated with that compound in at least one sample - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Derived structures:** - mapping of each compound to its set of unique genes, - weighted compoundâ€“compound edge list based on the count of shared genes.",Context only,"Rede composto-composto baseada em genes compartilhados; ajuda a entender estrutura quimica, mas nao seleciona isolados diretamente.",Baixa a media.,Baixa a media.,Baixa.,FALSE,51,docs\use_cases\module5\uc_5.6.md
UC 7.4,Module 7,UC-7.4 â€” Distribution of Toxicity Scores by Endpoint,"Within a broad toxicological domain (e.g., Genomic Toxicity), what is the statistical distribution of predicted toxicity scores across its specific endpoints, and which endpoints exhibit the highest median risk or greatest variability?",`ToxCSM.xlsx or ToxCSM.csv` with `value_` toxicity score columns and associated endpoint labels,"- **Primary data source:** `ToxCSM.xlsx or ToxCSM.csv` (semicolon-delimited) - **Key columns and structure:** - `compoundname` â€“ name of the chemical compound - `value_*` â€“ numeric toxicity scores for specific endpoints (e.g., `value_Gen_Carcinogenesis`) - associated metadata linking each `value_*` column to: - a **toxicological endpoint** (e.g., `Gen_Carcinogenesis`, `Env_Biodegradation`) - a **super-category** (e.g., `Gen` â†’ Genomic, `Env` â†’ Environmental) - **Toxicity super-categories (prefixes):** - `NR` â€“ Nuclear Response - `SR` â€“ Stress Response - `Gen` â€“ Genomic - `Env` â€“ Environmental - `Org` â€“ Organic",Context only,"Distribuicao de scores toxicológicos por endpoint; informa risco geral dos compostos, mas sem foco em amostras.",Baixa.,Media.,Media.,FALSE,52,docs\use_cases\module7\uc_7.4.md
UC 7.5,Module 7,UC-7.5 â€” Probability Distributions of Toxicity Scores by Endpoint,"Within a broad toxicological domain (e.g., Genomic Toxicity), what are the probability distributions of predicted toxicity scores across its specific endpoints, and which endpoints exhibit the highest median risk or greatest variability?",`ToxCSM.xlsx or ToxCSM.csv` with `value_` toxicity score columns and associated endpoint labels,"- **Primary data source:** `ToxCSM.xlsx or ToxCSM.csv` (semicolon-delimited) - **Key columns and structure:** - `compoundname` â€“ name of the chemical compound - `value_*` â€“ numeric toxicity scores for specific endpoints (e.g., `value_Gen_Carcinogenesis`) - metadata mapping each `value_*` column to: - a **Toxicological Endpoint** (e.g., `Gen_Carcinogenesis`, `Env_Biodegradation`) - a **Super-category** (e.g., Genomic, Environmental) - **Toxicity super-categories (prefixes):** - `NR` â€“ Nuclear Response - `SR` â€“ Stress Response - `Gen` â€“ Genomic - `Env` â€“ Environmental - `Org` â€“ Organic Although this visualization is compound-centric, it indirectly informs how different classes of compounds present in the dataset are distributed in terms of predicted toxicological risk.",Context only,"Distribuicoes probabilisticas de scores toxicológicos; util para contexto de risco, pouco decisivo para membros.",Baixa.,Media.,Media.,FALSE,53,docs\use_cases\module7\uc_7.5.md
UC 1.2,Module 1,UC-1.2 â€” Overlap of Compounds Across Regulatory References,"To what extent do the lists of monitored chemical compounds overlap between different environmental regulatory agencies, and which compounds appear in multiple regulatory lists?",BioRemPP results table (`BioRemPP_Results.xlsx or BioRemPP_Results.csv`),"- **Primary data source:** `BioRemPP_Results.xlsx or BioRemPP_Results.csv` - **Key columns:** - `referenceAG` â€“ identifier for the regulatory or scientific agency (e.g., WFD, CONAMA, EPC) - `compoundname` â€“ name of the monitored chemical compound - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Entity of interest:** unique compound names per agency",Context only,Contexto regulatorio e comparativo geral.,Baixa a media.,Baixa a media.,Baixa.,FALSE,60,docs\use_cases\module1\uc_1.2.md
UC 1.3,Module 1,UC-1.3 â€” Proportional Contribution of Regulatory References,What is the proportional representation of each regulatory agency's associated KO annotations within the total unique KO diversity observed across the entire dataset?,BioRemPP results table with `referenceAG` and `ko` columns,"- **Primary data source:** BioRemPP results table - **Key columns:** - `referenceAG` â€“ identifier for the regulatory or scientific agency (e.g., WFD, CONAMA, EPC) - `ko` â€“ KEGG Orthology identifier associated with the annotated function - **Accepted format:** semicolon-delimited text table (`.txt` or `.csv`) - **Entity of interest:** unique KO identifiers associated with each agency",Context only,Contexto regulatorio e comparativo geral.,Baixa a media.,Baixa a media.,Baixa.,FALSE,60,docs\use_cases\module1\uc_1.3.md
